# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Synthesized on Sun May  1 21:52:24 2022
# Collissional partners: Air:100%, H2:0%, He:0%, CO2:0%
# UV cross-sections included:  N2 O2 H2O CO2
# Collision-Induced-Absorption:  H2O-H2O  H2O-N2  O2-CO2  O2-N2  O2-O2 
# Molecular Rayleigh included
# Cross-section unit: cm2/molecule
# Spectral unit: Wavelength[nm]
# ------------------------------------------------------------------------
# Wave/freq Total
3.500000000e+02 3.109192732e-26
3.501000000e+02 3.105714291e-26
3.502000000e+02 3.102123727e-26
3.503000000e+02 3.098627631e-26
3.504000000e+02 3.095144444e-26
3.505000000e+02 3.091614513e-26
3.506000000e+02 3.088119052e-26
3.507000000e+02 3.084689423e-26
3.508000000e+02 3.081232737e-26
3.509000000e+02 3.077741923e-26
3.510000000e+02 3.074280819e-26
3.511000000e+02 3.070797808e-26
3.512000000e+02 3.067348453e-26
3.513000000e+02 3.063898291e-26
3.514000000e+02 3.060467298e-26
3.515000000e+02 3.057047397e-26
3.516000000e+02 3.053628983e-26
3.517000000e+02 3.050180356e-26
3.518000000e+02 3.046788904e-26
3.519000000e+02 3.043414170e-26
3.520000000e+02 3.040026046e-26
3.521000000e+02 3.036611067e-26
3.522000000e+02 3.033233260e-26
3.523000000e+02 3.029842764e-26
3.524000000e+02 3.026484936e-26
3.525000000e+02 3.023133028e-26
3.526000000e+02 3.019796081e-26
3.527000000e+02 3.016454232e-26
3.528000000e+02 3.013130119e-26
3.529000000e+02 3.009809083e-26
3.530000000e+02 3.006485247e-26
3.531000000e+02 3.003155701e-26
3.532000000e+02 2.999862652e-26
3.533000000e+02 2.996577615e-26
3.534000000e+02 2.993293188e-26
3.535000000e+02 2.990031724e-26
3.536000000e+02 2.986770630e-26
3.537000000e+02 2.983505758e-26
3.538000000e+02 2.980253359e-26
3.539000000e+02 2.977003200e-26
3.540000000e+02 2.973762302e-26
3.541000000e+02 2.970553968e-26
3.542000000e+02 2.967320137e-26
3.543000000e+02 2.964112683e-26
3.544000000e+02 2.960916984e-26
3.545000000e+02 2.957745797e-26
3.546000000e+02 2.954622429e-26
3.547000000e+02 2.951500386e-26
3.548000000e+02 2.948389034e-26
3.549000000e+02 2.945290060e-26
3.550000000e+02 2.942197381e-26
3.551000000e+02 2.939108811e-26
3.552000000e+02 2.936009383e-26
3.553000000e+02 2.932975338e-26
3.554000000e+02 2.929913975e-26
3.555000000e+02 2.926897404e-26
3.556000000e+02 2.923925814e-26
3.557000000e+02 2.920917925e-26
3.558000000e+02 2.917948243e-26
3.559000000e+02 2.914982009e-26
3.560000000e+02 2.912061307e-26
3.561000000e+02 2.909161789e-26
3.562000000e+02 2.906291003e-26
3.563000000e+02 2.903436404e-26
3.564000000e+02 2.900617243e-26
3.565000000e+02 2.897816368e-26
3.566000000e+02 2.895033596e-26
3.567000000e+02 2.892279479e-26
3.568000000e+02 2.889565023e-26
3.569000000e+02 2.886900759e-26
3.570000000e+02 2.884279617e-26
3.571000000e+02 2.881686625e-26
3.572000000e+02 2.879141223e-26
3.573000000e+02 2.876618345e-26
3.574000000e+02 2.874104708e-26
3.575000000e+02 2.871625357e-26
3.576000000e+02 2.869172136e-26
3.577000000e+02 2.866773238e-26
3.578000000e+02 2.864410225e-26
3.579000000e+02 2.862123696e-26
3.580000000e+02 2.859923583e-26
3.581000000e+02 2.857693752e-26
3.582000000e+02 2.855463723e-26
3.583000000e+02 2.853254667e-26
3.584000000e+02 2.851060094e-26
3.585000000e+02 2.848907048e-26
3.586000000e+02 2.846742205e-26
3.587000000e+02 2.844659962e-26
3.588000000e+02 2.842580174e-26
3.589000000e+02 2.840513485e-26
3.590000000e+02 2.838446447e-26
3.591000000e+02 2.836410258e-26
3.592000000e+02 2.834316213e-26
3.593000000e+02 2.832172777e-26
3.594000000e+02 2.830052838e-26
3.595000000e+02 2.827869842e-26
3.596000000e+02 2.825574062e-26
3.597000000e+02 2.823327136e-26
3.598000000e+02 2.821028116e-26
3.599000000e+02 2.818477484e-26
3.600000000e+02 2.816005905e-26
3.601000000e+02 2.813438386e-26
3.602000000e+02 2.810805109e-26
3.603000000e+02 2.808163404e-26
3.604000000e+02 2.805845003e-26
3.605000000e+02 2.803097761e-26
3.606000000e+02 2.800980457e-26
3.607000000e+02 2.797590227e-26
3.608000000e+02 2.795169516e-26
3.609000000e+02 2.792145408e-26
3.610000000e+02 2.789418559e-26
3.611000000e+02 2.785907276e-26
3.612000000e+02 2.782040352e-26
3.613000000e+02 2.778070239e-26
3.614000000e+02 2.774392448e-26
3.615000000e+02 2.770063449e-26
3.616000000e+02 2.765578104e-26
3.617000000e+02 2.761137079e-26
3.618000000e+02 2.756288254e-26
3.619000000e+02 2.755032208e-26
3.620000000e+02 2.750047511e-26
3.621000000e+02 2.743127866e-26
3.622000000e+02 2.737433012e-26
3.623000000e+02 2.734842594e-26
3.624000000e+02 2.731902893e-26
3.625000000e+02 2.726761023e-26
3.626000000e+02 2.721429344e-26
3.627000000e+02 2.714070303e-26
3.628000000e+02 2.711155704e-26
3.629000000e+02 2.706885094e-26
3.630000000e+02 2.702873847e-26
3.631000000e+02 2.697814415e-26
3.632000000e+02 2.695123942e-26
3.633000000e+02 2.689902235e-26
3.634000000e+02 2.686958571e-26
3.635000000e+02 2.681884281e-26
3.636000000e+02 2.678060476e-26
3.637000000e+02 2.676414342e-26
3.638000000e+02 2.672561630e-26
3.639000000e+02 2.667382898e-26
3.640000000e+02 2.664670476e-26
3.641000000e+02 2.660753982e-26
3.642000000e+02 2.659592238e-26
3.643000000e+02 2.654933298e-26
3.644000000e+02 2.651980756e-26
3.645000000e+02 2.647356570e-26
3.646000000e+02 2.645093595e-26
