# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Synthesized on Sun May  1 22:05:51 2022
# Collissional partners: Air:100%, H2:0%, He:0%, CO2:0%
# Cross-section unit: cm2/molecule
# Spectral unit: Wavelength[nm]
# ------------------------------------------------------------------------
# Wave/freq Total
3.500000000e+02 7.622377667e-31
3.501000000e+02 1.239384166e-30
3.502000000e+02 6.692505285e-31
3.503000000e+02 8.133072758e-31
3.504000000e+02 1.015066330e-30
3.505000000e+02 5.101498378e-31
3.506000000e+02 2.317779668e-31
3.507000000e+02 5.035104266e-31
3.508000000e+02 6.494305928e-31
3.509000000e+02 3.666513412e-31
3.510000000e+02 2.203628468e-31
3.511000000e+02 1.237888483e-31
3.512000000e+02 2.114154166e-31
3.513000000e+02 2.985901583e-31
3.514000000e+02 3.039476724e-31
3.515000000e+02 3.414791736e-31
3.516000000e+02 3.004404361e-31
3.517000000e+02 9.348408581e-33
3.518000000e+02 6.917216423e-32
3.519000000e+02 1.851834210e-31
3.520000000e+02 1.692731248e-31
3.521000000e+02 4.592586055e-32
3.522000000e+02 1.027732838e-31
3.523000000e+02 2.316709236e-32
3.524000000e+02 1.188083383e-31
3.525000000e+02 1.484697368e-31
3.526000000e+02 1.317554586e-31
3.527000000e+02 4.486125817e-32
3.528000000e+02 4.607402793e-32
3.529000000e+02 1.232272142e-31
3.530000000e+02 1.678598710e-31
3.531000000e+02 6.199809342e-32
3.532000000e+02 1.229434622e-31
3.533000000e+02 3.087246314e-31
3.534000000e+02 1.472050965e-31
3.535000000e+02 2.169774787e-31
3.536000000e+02 1.625772119e-31
3.537000000e+02 3.995926500e-32
3.538000000e+02 4.829310302e-32
3.539000000e+02 4.932923082e-32
3.540000000e+02 6.603502657e-32
3.541000000e+02 2.146870524e-31
3.542000000e+02 1.218477899e-31
3.543000000e+02 6.793622192e-32
3.544000000e+02 7.792129291e-32
3.545000000e+02 4.006677484e-32
3.546000000e+02 1.131097982e-31
3.547000000e+02 1.008735845e-31
3.548000000e+02 4.611335016e-32
3.549000000e+02 1.265003717e-31
3.550000000e+02 1.537225826e-31
3.551000000e+02 2.408226361e-31
3.552000000e+02 3.233453040e-32
3.553000000e+02 3.194127558e-31
3.554000000e+02 2.034892420e-31
3.555000000e+02 1.801283586e-31
3.556000000e+02 4.954889103e-31
3.557000000e+02 2.912769065e-31
3.558000000e+02 2.483610350e-31
3.559000000e+02 8.847436793e-32
3.560000000e+02 1.028868124e-31
3.561000000e+02 1.795668530e-31
3.562000000e+02 1.764576323e-31
3.563000000e+02 8.361952457e-32
3.564000000e+02 6.309752805e-32
3.565000000e+02 1.047371933e-31
3.566000000e+02 1.254210505e-31
3.567000000e+02 3.411458799e-32
3.568000000e+02 4.611081315e-32
3.569000000e+02 4.553345204e-32
3.570000000e+02 1.376774170e-31
3.571000000e+02 4.962931738e-32
3.572000000e+02 7.067309359e-32
3.573000000e+02 9.644381949e-32
3.574000000e+02 6.514735268e-32
3.575000000e+02 6.026290795e-32
3.576000000e+02 5.853295000e-32
3.577000000e+02 1.731545792e-31
3.578000000e+02 1.262090032e-31
3.579000000e+02 1.209423073e-31
3.580000000e+02 6.054816336e-31
3.581000000e+02 4.671074899e-31
3.582000000e+02 2.908195992e-31
3.583000000e+02 2.386692980e-31
3.584000000e+02 2.037187740e-31
3.585000000e+02 1.856473779e-31
3.586000000e+02 7.623312566e-32
3.587000000e+02 2.595508570e-31
3.588000000e+02 1.531670603e-31
3.589000000e+02 2.008035021e-31
3.590000000e+02 2.198129584e-31
3.591000000e+02 5.596003991e-31
3.592000000e+02 5.801726596e-31
3.593000000e+02 3.635973922e-31
3.594000000e+02 6.782375165e-31
3.595000000e+02 7.178535329e-31
3.596000000e+02 1.472958280e-31
3.597000000e+02 5.058372136e-31
3.598000000e+02 1.304931802e-30
3.599000000e+02 3.271497494e-31
3.600000000e+02 8.493703276e-31
3.601000000e+02 9.184105111e-31
3.602000000e+02 9.237726932e-31
3.603000000e+02 1.060480483e-30
3.604000000e+02 4.526201346e-30
3.605000000e+02 3.639366498e-30
3.606000000e+02 9.133361397e-30
3.607000000e+02 2.144709462e-30
3.608000000e+02 5.576558764e-30
3.609000000e+02 4.088876647e-30
3.610000000e+02 7.875280587e-30
3.611000000e+02 6.409970532e-30
3.612000000e+02 4.186384578e-30
3.613000000e+02 3.804246261e-30
3.614000000e+02 8.768381523e-30
3.615000000e+02 9.060632610e-30
3.616000000e+02 9.513500011e-30
3.617000000e+02 1.168068561e-29
3.618000000e+02 1.090300876e-29
3.619000000e+02 4.712941436e-29
3.620000000e+02 4.666412263e-29
3.621000000e+02 2.683581661e-29
3.622000000e+02 1.884709632e-29
3.623000000e+02 4.127016247e-29
3.624000000e+02 5.926688783e-29
3.625000000e+02 5.429883559e-29
3.626000000e+02 4.657286914e-29
3.627000000e+02 1.735107979e-29
3.628000000e+02 3.156695803e-29
3.629000000e+02 3.122663904e-29
3.630000000e+02 3.249886933e-29
3.631000000e+02 2.231873040e-29
3.632000000e+02 3.512653490e-29
3.633000000e+02 2.182806116e-29
3.634000000e+02 3.045573143e-29
3.635000000e+02 1.693300004e-29
3.636000000e+02 1.510668791e-29
3.637000000e+02 3.463232681e-29
3.638000000e+02 3.150098455e-29
3.639000000e+02 1.443090224e-29
3.640000000e+02 2.161254942e-29
3.641000000e+02 1.645138004e-29
3.642000000e+02 3.835423509e-29
3.643000000e+02 2.472275613e-29
3.644000000e+02 2.779866119e-29
3.645000000e+02 1.388125657e-29
3.646000000e+02 2.329512514e-29
3.647000000e+02 1.718628146e-29
3.648000000e+02 1.883350286e-29
3.649000000e+02 2.344739142e-29
3.650000000e+02 9.437139647e-30
3.651000000e+02 1.147577143e-29
3.652000000e+02 2.095116339e-29
3.653000000e+02 1.986948817e-29
3.654000000e+02 1.230300963e-29
3.655000000e+02 5.736144498e-30
3.656000000e+02 5.502567649e-30
3.657000000e+02 1.258578154e-29
3.658000000e+02 1.418044575e-29
3.659000000e+02 8.321080728e-30
3.660000000e+02 1.038350418e-29
3.661000000e+02 8.705718449e-30
3.662000000e+02 5.456003091e-30
3.663000000e+02 7.126760817e-30
3.664000000e+02 4.497229091e-30
3.665000000e+02 6.158306211e-30
3.666000000e+02 6.755535441e-30
3.667000000e+02 4.091389383e-30
3.668000000e+02 4.359013482e-30
3.669000000e+02 2.536387605e-30
3.670000000e+02 3.548130937e-30
3.671000000e+02 2.821449922e-30
3.672000000e+02 1.151302561e-30
3.673000000e+02 4.223941054e-30
3.674000000e+02 4.916219548e-31
3.675000000e+02 2.123245925e-30
3.676000000e+02 2.431767954e-30
3.677000000e+02 2.003760508e-30
3.678000000e+02 9.990973645e-31
3.679000000e+02 2.123454141e-30
3.680000000e+02 1.298873889e-30
3.681000000e+02 1.771413562e-30
3.682000000e+02 1.801890561e-30
3.683000000e+02 6.352752785e-31
3.684000000e+02 5.344943072e-31
3.685000000e+02 6.774614386e-31
3.686000000e+02 1.116356766e-30
3.687000000e+02 4.756905441e-31
3.688000000e+02 5.558447070e-31
3.689000000e+02 2.311617702e-31
3.690000000e+02 6.727073807e-31
3.691000000e+02 8.605190851e-31
3.692000000e+02 5.328842826e-31
3.693000000e+02 2.921074340e-31
3.694000000e+02 3.950420715e-31
3.695000000e+02 6.922782780e-31
3.696000000e+02 3.501800504e-31
3.697000000e+02 2.602773048e-31
3.698000000e+02 3.699345581e-31
3.699000000e+02 2.862798176e-31
3.700000000e+02 6.871322893e-31
3.701000000e+02 3.774298616e-31
3.702000000e+02 1.209173814e-30
3.703000000e+02 8.686539145e-31
3.704000000e+02 1.575972339e-30
3.705000000e+02 8.678112121e-31
3.706000000e+02 1.037022440e-30
3.707000000e+02 1.202402503e-30
3.708000000e+02 4.102055733e-31
3.709000000e+02 4.609217051e-31
3.710000000e+02 8.339374869e-31
3.711000000e+02 8.067918749e-31
3.712000000e+02 1.706208208e-30
3.713000000e+02 1.467531257e-30
3.714000000e+02 4.145069684e-30
3.715000000e+02 1.895882664e-30
3.716000000e+02 2.545283715e-30
3.717000000e+02 8.261857251e-31
3.718000000e+02 3.633867081e-31
3.719000000e+02 9.760819250e-31
3.720000000e+02 3.828844089e-31
3.721000000e+02 5.465124039e-31
3.722000000e+02 5.479854475e-31
3.723000000e+02 1.382371940e-30
3.724000000e+02 1.238346948e-30
3.725000000e+02 1.541794547e-30
3.726000000e+02 1.253424165e-30
3.727000000e+02 3.799096583e-31
3.728000000e+02 1.694760282e-30
3.729000000e+02 2.147635417e-30
3.730000000e+02 1.056558845e-30
3.731000000e+02 2.193934592e-30
3.732000000e+02 1.663720623e-30
3.733000000e+02 1.843756500e-30
3.734000000e+02 1.668414165e-30
3.735000000e+02 2.002580610e-30
3.736000000e+02 1.590649536e-30
3.737000000e+02 1.278839825e-30
3.738000000e+02 1.185370529e-30
3.739000000e+02 1.706470096e-30
3.740000000e+02 1.197486656e-30
3.741000000e+02 1.221548815e-30
3.742000000e+02 1.105355596e-30
3.743000000e+02 3.229452480e-30
3.744000000e+02 1.413331186e-30
3.745000000e+02 1.632349718e-30
3.746000000e+02 1.098219321e-30
3.747000000e+02 5.282958379e-31
3.748000000e+02 2.105550394e-30
3.749000000e+02 1.094641382e-30
3.750000000e+02 1.388970632e-30
3.751000000e+02 6.300209220e-30
3.752000000e+02 6.118074078e-30
3.753000000e+02 5.013882762e-30
3.754000000e+02 1.842766624e-30
3.755000000e+02 5.547528625e-30
3.756000000e+02 7.525586033e-30
3.757000000e+02 3.028915290e-30
3.758000000e+02 1.276111883e-30
3.759000000e+02 3.747599071e-31
3.760000000e+02 8.893338538e-30
3.761000000e+02 7.125045029e-30
3.762000000e+02 5.342787201e-30
3.763000000e+02 3.440286491e-30
3.764000000e+02 1.968382473e-29
3.765000000e+02 3.970756054e-29
3.766000000e+02 2.446600748e-29
3.767000000e+02 9.084921544e-30
3.768000000e+02 5.838525731e-30
3.769000000e+02 3.944758451e-30
3.770000000e+02 7.677790315e-30
3.771000000e+02 6.680013770e-30
3.772000000e+02 1.058080304e-30
3.773000000e+02 5.379425104e-30
3.774000000e+02 1.241601076e-29
3.775000000e+02 7.573073726e-30
3.776000000e+02 3.648876455e-30
3.777000000e+02 5.657583664e-30
3.778000000e+02 1.252616742e-29
3.779000000e+02 3.886570116e-30
3.780000000e+02 8.785326132e-30
3.781000000e+02 2.202639885e-30
3.782000000e+02 1.390906523e-29
3.783000000e+02 2.241710470e-30
3.784000000e+02 8.560160182e-30
3.785000000e+02 5.539019622e-30
3.786000000e+02 1.080254481e-29
3.787000000e+02 5.999489821e-30
3.788000000e+02 6.344051120e-31
3.789000000e+02 8.170708912e-30
3.790000000e+02 1.628804448e-30
3.791000000e+02 1.070432468e-29
3.792000000e+02 2.001816981e-30
3.793000000e+02 6.556407567e-31
3.794000000e+02 2.021941776e-30
3.795000000e+02 4.117601018e-30
3.796000000e+02 9.089079518e-30
3.797000000e+02 4.105305752e-30
3.798000000e+02 7.189718318e-31
3.799000000e+02 1.237693706e-30
3.800000000e+02 2.627386602e-30
3.801000000e+02 6.710216776e-31
3.802000000e+02 4.154369612e-30
3.803000000e+02 1.880871092e-30
3.804000000e+02 9.812980180e-31
3.805000000e+02 1.196056750e-30
3.806000000e+02 1.868063891e-30
3.807000000e+02 1.169153645e-30
3.808000000e+02 3.285119157e-30
3.809000000e+02 1.957603400e-30
3.810000000e+02 4.603827603e-30
3.811000000e+02 2.951461516e-30
3.812000000e+02 2.280413450e-30
3.813000000e+02 1.266463041e-30
3.814000000e+02 1.814375693e-30
3.815000000e+02 4.556531226e-30
3.816000000e+02 3.227902559e-30
3.817000000e+02 1.067834319e-29
3.818000000e+02 6.913011132e-30
3.819000000e+02 6.696652260e-30
3.820000000e+02 4.169114293e-30
3.821000000e+02 5.426116006e-30
3.822000000e+02 2.353786748e-30
3.823000000e+02 5.823402964e-30
3.824000000e+02 7.161667587e-30
3.825000000e+02 1.059615673e-30
3.826000000e+02 1.358039555e-30
3.827000000e+02 3.955131754e-30
3.828000000e+02 2.218000361e-30
3.829000000e+02 1.910491412e-30
3.830000000e+02 1.563686786e-30
3.831000000e+02 1.484758943e-30
3.832000000e+02 5.382317272e-31
3.833000000e+02 3.750439669e-30
3.834000000e+02 2.882917358e-30
3.835000000e+02 8.653856323e-31
3.836000000e+02 3.522621625e-30
3.837000000e+02 4.689875244e-31
3.838000000e+02 9.882149760e-31
3.839000000e+02 1.379906616e-30
3.840000000e+02 3.720851766e-30
3.841000000e+02 1.196642728e-30
3.842000000e+02 1.813345457e-30
3.843000000e+02 7.636550351e-31
3.844000000e+02 1.252180875e-30
3.845000000e+02 2.172556480e-30
3.846000000e+02 9.538502042e-31
3.847000000e+02 2.028666296e-30
3.848000000e+02 1.322231617e-31
3.849000000e+02 2.984236179e-31
3.850000000e+02 1.832928787e-30
3.851000000e+02 2.282613532e-30
3.852000000e+02 3.017890944e-31
3.853000000e+02 1.349522743e-31
3.854000000e+02 4.778024913e-31
3.855000000e+02 1.842567050e-30
3.856000000e+02 8.222108765e-31
3.857000000e+02 1.546436464e-31
3.858000000e+02 5.358511420e-32
3.859000000e+02 1.855852579e-31
3.860000000e+02 5.586299920e-31
3.861000000e+02 5.827127558e-31
3.862000000e+02 1.765494855e-31
3.863000000e+02 1.290653990e-30
3.864000000e+02 3.897365027e-31
3.865000000e+02 2.056770950e-31
3.866000000e+02 2.245255304e-31
3.867000000e+02 5.748535224e-32
3.868000000e+02 2.384770119e-31
3.869000000e+02 4.930743953e-31
3.870000000e+02 2.500969177e-32
3.871000000e+02 9.798984303e-32
3.872000000e+02 1.517984525e-31
3.873000000e+02 1.544450600e-31
3.874000000e+02 2.720994949e-31
3.875000000e+02 2.649668881e-31
3.876000000e+02 1.080034877e-31
3.877000000e+02 4.353594692e-31
3.878000000e+02 6.361877732e-32
3.879000000e+02 6.891304419e-32
3.880000000e+02 8.727595195e-32
3.881000000e+02 7.901656274e-32
3.882000000e+02 4.550039996e-32
3.883000000e+02 2.052726587e-31
3.884000000e+02 1.857641155e-32
3.885000000e+02 9.357028135e-32
3.886000000e+02 6.250587191e-32
3.887000000e+02 1.714833468e-32
3.888000000e+02 3.095411589e-32
3.889000000e+02 1.011943214e-31
3.890000000e+02 6.311295377e-32
3.891000000e+02 5.298297618e-32
3.892000000e+02 1.804675600e-31
3.893000000e+02 4.503436627e-32
3.894000000e+02 5.852102606e-32
3.895000000e+02 7.396229430e-32
3.896000000e+02 1.029570860e-31
3.897000000e+02 5.832516891e-32
3.898000000e+02 8.760615805e-32
3.899000000e+02 2.071032466e-31
3.900000000e+02 5.450270282e-32
3.901000000e+02 2.393402026e-31
3.902000000e+02 6.031518122e-32
3.903000000e+02 1.615292088e-31
3.904000000e+02 3.518397297e-31
3.905000000e+02 8.010685276e-33
3.906000000e+02 2.755602447e-31
3.907000000e+02 7.422816158e-32
3.908000000e+02 3.715426899e-31
3.909000000e+02 1.331616028e-31
3.910000000e+02 1.854000530e-31
3.911000000e+02 3.222877888e-31
3.912000000e+02 3.497026128e-31
3.913000000e+02 4.081168462e-31
3.914000000e+02 2.914895433e-31
3.915000000e+02 2.536624792e-31
3.916000000e+02 2.421039852e-31
3.917000000e+02 3.079975156e-31
3.918000000e+02 1.836712162e-31
3.919000000e+02 1.830019619e-31
3.920000000e+02 1.322343984e-31
3.921000000e+02 2.591035177e-31
3.922000000e+02 1.601234983e-31
3.923000000e+02 2.264237668e-31
3.924000000e+02 3.627407918e-31
3.925000000e+02 5.545638660e-31
3.926000000e+02 3.706605624e-31
3.927000000e+02 2.927076457e-31
3.928000000e+02 3.671534386e-31
3.929000000e+02 2.463818656e-30
3.930000000e+02 1.192192194e-30
3.931000000e+02 1.171269579e-30
3.932000000e+02 1.449380286e-30
3.933000000e+02 1.094151825e-30
3.934000000e+02 7.279819379e-31
3.935000000e+02 1.347466123e-30
3.936000000e+02 7.292938283e-31
3.937000000e+02 6.631512736e-31
3.938000000e+02 1.937264607e-30
3.939000000e+02 1.375806390e-30
3.940000000e+02 5.777730153e-31
3.941000000e+02 1.849011912e-30
3.942000000e+02 1.350984906e-30
3.943000000e+02 1.676139259e-30
3.944000000e+02 3.996428740e-30
3.945000000e+02 2.560733543e-30
3.946000000e+02 6.613288663e-30
3.947000000e+02 1.186032100e-29
3.948000000e+02 1.244755495e-29
3.949000000e+02 3.763358898e-30
3.950000000e+02 7.729994988e-30
3.951000000e+02 8.210144674e-30
3.952000000e+02 9.414457034e-30
3.953000000e+02 1.357758053e-29
3.954000000e+02 5.744529402e-30
3.955000000e+02 5.171431049e-30
3.956000000e+02 3.209037395e-30
3.957000000e+02 2.023307578e-29
3.958000000e+02 6.198146208e-30
3.959000000e+02 1.418214941e-29
3.960000000e+02 3.315927079e-30
3.961000000e+02 1.575781291e-29
3.962000000e+02 1.654153987e-29
3.963000000e+02 2.984237566e-29
3.964000000e+02 6.568179671e-29
3.965000000e+02 4.505952746e-29
3.966000000e+02 7.851010033e-29
3.967000000e+02 1.273360997e-29
3.968000000e+02 4.026236320e-30
3.969000000e+02 9.076071961e-29
3.970000000e+02 3.270659525e-29
3.971000000e+02 7.980375688e-29
3.972000000e+02 2.037759496e-28
3.973000000e+02 2.625364817e-28
3.974000000e+02 1.835817101e-28
3.975000000e+02 2.764437191e-28
3.976000000e+02 3.762981475e-29
3.977000000e+02 5.648607463e-29
3.978000000e+02 2.018109613e-29
3.979000000e+02 5.984541146e-29
3.980000000e+02 2.870033985e-29
3.981000000e+02 6.526174511e-29
3.982000000e+02 1.548451713e-29
3.983000000e+02 5.524935377e-29
3.984000000e+02 3.972893765e-29
3.985000000e+02 1.683792840e-28
3.986000000e+02 2.496400227e-29
3.987000000e+02 3.226772174e-29
3.988000000e+02 3.411212824e-29
3.989000000e+02 1.047040991e-28
3.990000000e+02 1.183829071e-28
3.991000000e+02 4.901463332e-29
3.992000000e+02 6.432777634e-29
3.993000000e+02 1.146571131e-28
3.994000000e+02 1.395307397e-29
3.995000000e+02 1.408961583e-29
3.996000000e+02 1.223997952e-28
3.997000000e+02 6.322585297e-29
3.998000000e+02 1.377248336e-28
3.999000000e+02 2.533627521e-29
4.000000000e+02 1.450017826e-29
4.001000000e+02 2.652733992e-29
4.002000000e+02 1.068371123e-28
4.003000000e+02 7.353467851e-29
4.004000000e+02 1.685676185e-29
4.005000000e+02 3.120689358e-29
4.006000000e+02 2.782203409e-29
4.007000000e+02 3.973656693e-29
4.008000000e+02 6.392420414e-29
4.009000000e+02 2.502069437e-29
4.010000000e+02 3.827050804e-29
4.011000000e+02 1.665815533e-29
4.012000000e+02 3.013529715e-29
4.013000000e+02 3.061537367e-30
4.014000000e+02 5.286556787e-29
4.015000000e+02 1.760924511e-29
4.016000000e+02 2.052838092e-29
4.017000000e+02 1.248245142e-29
4.018000000e+02 1.195514880e-29
4.019000000e+02 1.551667165e-29
4.020000000e+02 3.931344480e-29
4.021000000e+02 1.540003137e-29
4.022000000e+02 8.055239818e-30
4.023000000e+02 1.565925752e-29
4.024000000e+02 6.779719913e-30
4.025000000e+02 1.298860864e-29
4.026000000e+02 3.916412972e-30
4.027000000e+02 1.670377645e-29
4.028000000e+02 1.128513885e-29
4.029000000e+02 4.749826931e-30
4.030000000e+02 4.895466680e-30
4.031000000e+02 4.781506381e-30
4.032000000e+02 1.571947516e-30
4.033000000e+02 5.158990645e-30
4.034000000e+02 7.549016331e-30
4.035000000e+02 3.158087177e-30
4.036000000e+02 4.867696963e-30
4.037000000e+02 2.520696577e-30
4.038000000e+02 3.463519050e-30
4.039000000e+02 3.553903552e-30
4.040000000e+02 1.372145182e-30
4.041000000e+02 1.554783297e-30
4.042000000e+02 4.329618385e-30
4.043000000e+02 2.653101007e-30
4.044000000e+02 1.999563962e-30
4.045000000e+02 1.244976113e-30
4.046000000e+02 7.692062366e-31
4.047000000e+02 1.786204191e-30
4.048000000e+02 1.260849829e-30
4.049000000e+02 1.459999193e-30
4.050000000e+02 1.522230246e-30
4.051000000e+02 1.291657846e-30
4.052000000e+02 8.529403196e-31
4.053000000e+02 6.155908043e-31
4.054000000e+02 1.191502016e-30
4.055000000e+02 4.399353075e-31
4.056000000e+02 8.263594719e-31
4.057000000e+02 7.378947918e-31
4.058000000e+02 3.032242470e-31
4.059000000e+02 3.860194364e-31
4.060000000e+02 5.822636172e-31
4.061000000e+02 3.255804721e-31
4.062000000e+02 4.256802648e-31
4.063000000e+02 3.347678317e-31
4.064000000e+02 5.230615440e-31
4.065000000e+02 1.074981656e-31
4.066000000e+02 2.052483725e-31
4.067000000e+02 1.998226072e-31
4.068000000e+02 3.316398624e-31
4.069000000e+02 1.702879231e-31
4.070000000e+02 2.516859605e-31
4.071000000e+02 1.107201589e-31
4.072000000e+02 1.960349590e-31
4.073000000e+02 2.784331859e-32
4.074000000e+02 7.181900057e-32
4.075000000e+02 7.139079518e-32
4.076000000e+02 3.779747092e-32
4.077000000e+02 9.894510489e-32
4.078000000e+02 6.931773590e-32
4.079000000e+02 4.944487501e-32
4.080000000e+02 5.049224707e-32
4.081000000e+02 1.595826788e-31
4.082000000e+02 2.606608356e-32
4.083000000e+02 5.789743234e-32
4.084000000e+02 1.065742450e-32
4.085000000e+02 2.096121089e-32
4.086000000e+02 7.380940687e-32
4.087000000e+02 1.183825277e-31
4.088000000e+02 7.572743942e-32
4.089000000e+02 8.367295119e-32
4.090000000e+02 7.758225544e-32
4.091000000e+02 6.903213496e-32
4.092000000e+02 1.083005829e-31
4.093000000e+02 5.883930128e-31
4.094000000e+02 3.708804854e-31
4.095000000e+02 4.029798903e-31
4.096000000e+02 5.928530158e-31
4.097000000e+02 1.504772454e-30
4.098000000e+02 2.385181195e-30
4.099000000e+02 7.354857795e-31
4.100000000e+02 1.198406192e-30
4.101000000e+02 1.037736688e-30
4.102000000e+02 1.952473728e-30
4.103000000e+02 8.141102359e-31
4.104000000e+02 2.252661125e-30
4.105000000e+02 4.888862735e-30
4.106000000e+02 3.916022404e-30
4.107000000e+02 2.201576140e-30
4.108000000e+02 8.230522174e-31
4.109000000e+02 3.558835357e-30
4.110000000e+02 1.102898842e-30
4.111000000e+02 1.841342011e-30
4.112000000e+02 2.325992246e-30
4.113000000e+02 2.836006576e-30
4.114000000e+02 2.112612667e-30
4.115000000e+02 4.563962486e-30
4.116000000e+02 1.864487946e-30
4.117000000e+02 1.219461692e-30
4.118000000e+02 1.478699689e-30
4.119000000e+02 5.877379804e-31
4.120000000e+02 2.235221275e-30
4.121000000e+02 1.117557259e-30
4.122000000e+02 1.681079289e-30
4.123000000e+02 1.512081949e-30
4.124000000e+02 1.809352503e-30
4.125000000e+02 2.467857033e-30
4.126000000e+02 3.481920316e-30
4.127000000e+02 1.453109791e-30
4.128000000e+02 4.916236978e-30
4.129000000e+02 2.556081348e-30
4.130000000e+02 2.579503261e-30
4.131000000e+02 1.771457413e-30
4.132000000e+02 1.378563856e-30
4.133000000e+02 1.920324381e-30
4.134000000e+02 5.395772430e-30
4.135000000e+02 2.691297586e-30
4.136000000e+02 3.746765451e-30
4.137000000e+02 3.461731291e-30
4.138000000e+02 6.834540798e-30
4.139000000e+02 1.744675258e-30
4.140000000e+02 2.199499945e-30
4.141000000e+02 2.892418674e-30
4.142000000e+02 2.169543368e-30
4.143000000e+02 1.856867001e-30
4.144000000e+02 3.692445824e-30
4.145000000e+02 9.200297165e-30
4.146000000e+02 1.063066286e-29
4.147000000e+02 1.399202382e-29
4.148000000e+02 5.113881180e-30
4.149000000e+02 1.130793503e-29
4.150000000e+02 1.541995959e-29
4.151000000e+02 1.640297242e-29
4.152000000e+02 1.059558054e-29
4.153000000e+02 1.348165563e-29
4.154000000e+02 2.379838672e-29
4.155000000e+02 1.603664344e-29
4.156000000e+02 8.980676651e-30
4.157000000e+02 1.550341658e-29
4.158000000e+02 7.284035608e-30
4.159000000e+02 1.909882801e-29
4.160000000e+02 1.800231046e-29
4.161000000e+02 1.973063272e-29
4.162000000e+02 2.113564935e-29
4.163000000e+02 1.110699166e-29
4.164000000e+02 1.848269690e-29
4.165000000e+02 2.241300974e-29
4.166000000e+02 7.023207203e-29
4.167000000e+02 6.788783358e-29
4.168000000e+02 6.058017114e-29
4.169000000e+02 2.111938992e-29
4.170000000e+02 3.125638419e-29
4.171000000e+02 1.632276388e-29
4.172000000e+02 1.717614747e-29
4.173000000e+02 2.018548925e-29
4.174000000e+02 1.254562851e-29
4.175000000e+02 1.369043003e-29
4.176000000e+02 5.610360689e-30
4.177000000e+02 3.810176060e-29
4.178000000e+02 1.462052894e-29
4.179000000e+02 1.816081768e-29
4.180000000e+02 3.407874962e-29
4.181000000e+02 8.240066788e-30
4.182000000e+02 2.557020847e-29
4.183000000e+02 1.014881381e-29
4.184000000e+02 2.800174382e-29
4.185000000e+02 1.276636234e-29
4.186000000e+02 2.898761933e-29
4.187000000e+02 1.103691740e-29
4.188000000e+02 1.534420790e-29
4.189000000e+02 1.935760020e-29
4.190000000e+02 7.680821547e-30
